time,seconds_elapsed,relativeAltitude,pressure
1729696529056098800,0.217098876953125,0,983.58349609375
1729696529096092700,0.2570927734375,0.01055908203125,983.582275390625
1729696529136116200,0.2971162109375,-0.050201416015625,983.589599609375
1729696529176116700,0.33711669921875,-0.07135009765625,983.592041015625
1729696529216116500,0.377116455078125,-0.0052947998046875,983.584228515625
1729696529256116500,0.417116455078125,-0.0026397705078125,983.583984375
1729696529296119300,0.457119384765625,0.0264129638671875,983.580322265625
1729696529336117500,0.497117431640625,-0.0105743408203125,983.584716796875
1729696529376119000,0.537119140625,-0.0607757568359375,983.5908203125
1729696529416116200,0.5771162109375,-0.1928863525390625,983.606201171875
1729696529456094000,0.617093994140625,-0.1479644775390625,983.600830078125
1729696529496092000,0.657091796875,-0.14532470703125,983.6005859375
1729696529536115000,0.697114990234375,-0.1479644775390625,983.600830078125
1729696529576117500,0.737117431640625,-0.140045166015625,983.60009765625
1729696529616117000,0.777116943359375,-0.0660552978515625,983.59130859375
1729696529656116500,0.817116455078125,-0.10833740234375,983.59619140625
1729696529696119300,0.857119384765625,-0.132110595703125,983.59912109375
1729696529736125000,0.897125,-0.10833740234375,983.59619140625
1729696529776129000,0.93712890625,-0.140045166015625,983.60009765625
1729696529816092200,0.977092041015625,-0.1268310546875,983.598388671875
1729696529856123400,1.017123291015625,-0.06341552734375,983.591064453125
1729696529896092200,1.057092041015625,-0.031707763671875,983.587158203125
1729696529936098600,1.0970986328125,-0.0607757568359375,983.5908203125
1729696529976123400,1.137123291015625,-0.044921875,983.5888671875
1729696530016118300,1.1771181640625,-0.068695068359375,983.591552734375
1729696530056119600,1.21711962890625,-0.10833740234375,983.59619140625
1729696530096124200,1.257124267578125,-0.0819091796875,983.59326171875
1729696530136120800,1.297120849609375,-0.1189117431640625,983.59765625
1729696530176128300,1.337128173828125,-0.1189117431640625,983.59765625
1729696530216131000,1.377131103515625,-0.1479644775390625,983.60107421875
1729696530256126000,1.4171259765625,-0.132110595703125,983.59912109375
1729696530296149200,1.457149169921875,-0.1241912841796875,983.59814453125
1729696530336093000,1.497093017578125,-0.1189117431640625,983.59765625
1729696530376100600,1.5371005859375,-0.1426849365234375,983.600341796875
1729696530416113400,1.577113525390625,-0.0792694091796875,983.5927734375
1729696530456116700,1.61711669921875,-0.0739898681640625,983.59228515625
1729696530496118800,1.657118896484375,-0.08984375,983.59423828125
1729696530536114400,1.697114501953125,-0.0977630615234375,983.594970703125
1729696530576121300,1.737121337890625,-0.0845489501953125,983.593505859375
1729696530616123600,1.77712353515625,-0.08984375,983.593994140625
1729696530656118300,1.8171181640625,-0.1268310546875,983.598388671875
1729696530696119000,1.857119140625,-0.166473388671875,983.60302734375
1729696530736099600,1.897099609375,-0.208740234375,983.608154296875
1729696530776100400,1.937100341796875,-0.1928863525390625,983.606201171875
1729696530816119600,1.97711962890625,-0.2113800048828125,983.6083984375
1729696530856120800,2.017120849609375,-0.19818115234375,983.60693359375
1729696530896121300,2.057121337890625,-0.1717529296875,983.603759765625
1729696530936118300,2.0971181640625,-0.1743927001953125,983.60400390625
1729696530976124200,2.137124267578125,-0.1268310546875,983.598388671875
1729696531016117500,2.177117431640625,-0.1241912841796875,983.59814453125
1729696531056124400,2.21712451171875,-0.1374053955078125,983.599853515625
1729696531096119300,2.257119384765625,-0.166473388671875,983.60302734375
1729696531136144400,2.297144287109375,-0.14532470703125,983.6005859375
1729696531176092200,2.337092041015625,-0.1294708251953125,983.598876953125
1729696531216091100,2.377091064453125,-0.19024658203125,983.60595703125
1729696531256120300,2.417120361328125,-0.1611785888671875,983.6025390625
1729696531296120800,2.457120849609375,-0.1743927001953125,983.60400390625
1729696531336123000,2.497122802734375,-0.1876068115234375,983.60546875
1729696531376126700,2.537126708984375,-0.1294708251953125,983.5986328125
1729696531416119300,2.577119384765625,-0.1162567138671875,983.59716796875
1729696531456120800,2.617120849609375,-0.1691131591796875,983.603271484375
1729696531496093200,2.65709326171875,-0.19024658203125,983.60595703125
1729696531536114700,2.69711474609375,-0.1691131591796875,983.603515625
1729696531576093200,2.73709326171875,-0.1743927001953125,983.60400390625
1729696531616100000,2.77710009765625,-0.1479644775390625,983.60107421875
1729696531656116000,2.817115966796875,-0.1294708251953125,983.5986328125
1729696531696117000,2.857116943359375,-0.163818359375,983.602783203125
1729696531736110600,2.897110595703125,-0.158538818359375,983.602294921875
1729696531776117000,2.937116943359375,-0.0792694091796875,983.5927734375
1729696531816092200,2.977092041015625,-0.1241912841796875,983.59814453125
1729696531856120000,3.0171201171875,-0.163818359375,983.602783203125
1729696531896119300,3.057119384765625,-0.08984375,983.59423828125
1729696531936116500,3.097116455078125,-0.0924835205078125,983.594482421875
1729696531976116200,3.1371162109375,-0.1558990478515625,983.60205078125
1729696532016104200,3.177104248046875,-0.14532470703125,983.6005859375
1729696532056093400,3.217093505859375,-0.0607757568359375,983.5908203125
1729696532096119300,3.257119384765625,-0.0422821044921875,983.588623046875
1729696532136118300,3.2971181640625,-0.076629638671875,983.592529296875
1729696532176117200,3.3371171875,-0.1294708251953125,983.598876953125
1729696532216117500,3.377117431640625,-0.166473388671875,983.60302734375
1729696532256093400,3.417093505859375,-0.134765625,983.599365234375
1729696532296120600,3.45712060546875,-0.1691131591796875,983.603515625
1729696532336121000,3.49712109375,-0.0792694091796875,983.593017578125
1729696532376120000,3.5371201171875,-0.134765625,983.599365234375
1729696532416093000,3.577093017578125,-0.1479644775390625,983.60107421875
1729696532456100900,3.617100830078125,-0.1189117431640625,983.597412109375
