time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1729696531227074800,2.38807470703125,45,0.0860232561826706,4.517486095428467,13.147000312805176,0.1090671643614769,242.1234893798828,312,-85.5089649,36.17538
1729696532231363300,3.39236328125,45,0.07211102545261383,4.517394542694092,11.581999778747559,0.1638857126235962,273.81396484375,312,-85.5089723,36.1753842
1729696533231302100,4.39230224609375,45,0.08062257617712021,4.527393817901611,10.571000099182129,0.22281989455223083,288.34637451171875,312,-85.5089777,36.1753879
1729696534232812500,5.3938125,45,0.08062257617712021,4.537408828735352,9.817999839782715,0.2604594826698303,307.48077392578125,312,-85.5089798,36.1753934
1729696535232966100,6.393966064453125,45,0.08062257617712021,4.547410488128662,9.145999908447266,0.2516871988773346,318.0942687988281,312,-85.5089795,36.1753964
1729696536234221300,7.39522119140625,45,0.08062257617712021,4.557423114776611,7.645999908447266,0.23216217756271362,323.80535888671875,312,-85.5089793,36.1753981
1729696537049000000,8.21,45,1.5,2.031830072402954,10.027999877929688,0.22705036401748657,324.0870361328125,311.5,-85.5089803,36.1753993
1729696537231067400,8.3920673828125,45,0.08062257617712021,2.0327279567718506,9.336999893188477,0.19230525195598602,328.90875244140625,311.5,-85.5089783,36.1753986
1729696538235590400,9.39659033203125,45,0.08062257617712021,2.016831398010254,8.550999641418457,0.1971236914396286,332.7012023925781,311.5,-85.5089788,36.1754006
1729696539233343200,10.39434326171875,45,0.08062257617712021,2.0318050384521484,7.980000019073486,0.20869751274585724,332.26336669921875,311.5,-85.5089803,36.1754027
1729696540231698400,11.392698486328126,45,0.08062257617712021,2.0417885780334473,7.401000022888184,0.21117305755615234,333.4004821777344,311.5,-85.5089812,36.1754046
1729696541240388400,12.401388427734375,45,0.08062257617712021,2.0537571907043457,7.254000186920166,0.19851936399936676,338.1505432128906,311.5,-85.5089808,36.1754061
1729696542064000000,13.225,45,1.5,1.5722585916519165,6.980000019073486,0.19427192211151123,338.379638671875,311.5,-85.5089813,36.1754072
1729696542236962300,13.39796240234375,45,0.08062257617712021,1.5728566646575928,6.747000217437744,0.17964591085910797,339.795654296875,311.5,-85.5089807,36.1754068
1729696543232073700,14.39307373046875,45,0.08062257617712021,1.5900250673294067,6.324999809265137,0.15134184062480927,344.0591125488281,311.5,-85.50898,36.175407
1729696544233428200,15.39442822265625,45,0.08062257617712021,1.656459927558899,6.570000171661377,0.1278955489397049,346.0998229980469,311.5,-85.5089796,36.1754071
1729696545237905400,16.398905517578125,45,0.08062257617712021,1.6665046215057373,6.546999931335449,0.1075059324502945,346.2312927246094,311.5,-85.5089796,36.1754071
1729696546233649000,17.39464892578125,0,0.08062257617712021,1.6818416118621826,6.1529998779296875,0.0903697982430458,0,311.5,-85.5089797,36.175407
1729696547085000000,18.246,0,1.5,1.37600576877594,6.627999782562256,0.08793222904205322,0,311.5,-85.5089798,36.1754075
1729696547231843600,18.392843505859375,0,0.08062257617712021,1.3765281438827515,6.2230000495910645,0.07534230500459671,0,311.5,-85.5089797,36.175407
1729696548231727600,19.3927275390625,0,0.08062257617712021,1.387721061706543,6.2220001220703125,0.06284129619598389,0,311.5,-85.5089791,36.175407
1729696549234265000,20.39526513671875,0,0.08062257617712021,1.4012945890426636,6.626999855041504,0.06397511810064316,0,311.5,-85.5089794,36.1754076
1729696550234397700,21.395397705078125,0,0.08062257617712021,1.4163317680358887,6.2220001220703125,0.06735487282276154,0,311.5,-85.50898,36.1754083
1729696551234807300,22.395807373046875,0,0.08062257617712021,1.4278643131256104,6.626999855041504,0.07099556922912598,0,311.5,-85.5089807,36.175409
1729696552102000000,23.263000244140624,0,1.5,1.3714107275009155,6.679999828338623,0.06983804702758789,0,312,-85.5089809,36.1754094
1729696552236301800,23.3973017578125,0,0.08062257617712021,1.371997594833374,6.679999828338623,0.07286866009235382,0,312,-85.5089813,36.1754096
1729696553233674200,24.39467431640625,0,0.08062257617712021,1.3806142807006836,6.679999828338623,0.06286972016096115,0,312,-85.508981,36.1754097
1729696554236382700,25.3973828125,0,0.08062257617712021,1.3897727727890015,6.679999828338623,0.06066929176449776,0,312,-85.5089812,36.1754101
1729696555240068600,26.401068603515625,0,0.08062257617712021,1.3987458944320679,6.679999828338623,0.0621817521750927,0,312,-85.5089816,36.1754107
1729696556235853000,27.39685302734375,0,0.08062257617712021,1.4087036848068237,6.679999828338623,0.06574245542287827,0,312,-85.5089821,36.1754114
1729696557233755400,28.39475537109375,0,0.08062257617712021,1.4186828136444092,3.7899999618530273,0.06749793142080307,0,312,-85.5089827,36.1754119
1729696557325000000,28.486,0,1.5,1.254266381263733,4.093999862670898,0.06733433902263641,0,311.5,-85.5089828,36.1754119
1729696558236502300,29.397502197265624,0,0.08062257617712021,1.234761357307434,4.093999862670898,0.05000355467200279,0,311.5,-85.5089821,36.1754117
1729696559243950300,30.404950439453124,0,0.08062257617712021,1.2450801134109497,4.093999862670898,0.04197458550333977,0,311.5,-85.5089819,36.1754117
1729696562240000000,33.401,0,1.5,1.3027147054672241,63.709999084472656,0.0409502312541008,0,312,-85.5089823,36.1754127
1729696567155000000,38.316,0,1.5,1.2421706914901733,162.00999450683594,0.03977448120713234,0,312,-85.5089829,36.1754144
1729696572274000000,43.43499975585937,45,1.5,1.314194679260254,25.992000579833984,1.6333107948303223,117.47896575927734,311.5,-85.5087552,36.1753162
1729696577189000000,48.35,45,1.5,1.273053526878357,23.815000534057617,1.3645005226135254,108.7828369140625,311.9000244140625,-85.5086984,36.1753193
