time,seconds_elapsed,z,y,x
1729696936600851000,0.082850830078125,-276.9750061035156,157.74375915527344,81.30000305175781
1729696936610851000,0.09285107421875,-276.6000061035156,157.21875,81.82500457763672
1729696936620851000,0.102850830078125,-276.4125061035156,157.59375,81.28125
1729696936630851000,0.11285107421875,-276.5812683105469,157.83750915527344,81.01875305175781
1729696936640851000,0.122850830078125,-276.4875183105469,157.7062530517578,80.94375610351562
1729696936650851000,0.13285107421875,-276.5625,157.66876220703125,80.92500305175781
1729696936660851000,0.142850830078125,-276.3937683105469,157.53750610351562,80.7750015258789
1729696936670851000,0.15285107421875,-276.0375061035156,157.55625915527344,80.7750015258789
1729696936680851000,0.162850830078125,-276,157.6875,80.625
1729696936690851000,0.17285107421875,-276,157.95001220703125,80.3062515258789
1729696936700851000,0.182850830078125,-275.9250183105469,157.96875,80.38125610351562
1729696936710851000,0.19285107421875,-275.6812744140625,157.81875610351562,80.4000015258789
1729696936720851000,0.202850830078125,-275.4750061035156,158.13751220703125,80.4000015258789
1729696936730851000,0.21285107421875,-275.4375,158.2687530517578,80.3062515258789
1729696936740851000,0.222850830078125,-275.5687561035156,158.40000915527344,80.34375
1729696936750851000,0.23285107421875,-275.88751220703125,158.32501220703125,80.4375
1729696936760851000,0.242850830078125,-275.79376220703125,158.32501220703125,80.34375
1729696936770851000,0.25285107421875,-275.7750244140625,158.21250915527344,80.4937515258789
1729696936780851000,0.262850830078125,-275.88751220703125,157.95001220703125,80.6812515258789
1729696936790851000,0.27285107421875,-275.8312683105469,158.10000610351562,80.6812515258789
1729696936800851000,0.282850830078125,-276.0562744140625,157.66876220703125,80.75625610351562
1729696936810851000,0.29285107421875,-275.88751220703125,157.59375,80.8687515258789
1729696936820851000,0.302850830078125,-275.9250183105469,157.59375,81.0562515258789
1729696936830851000,0.31285107421875,-276.0187683105469,157.6875,81.09375
1729696936840851000,0.322850830078125,-276.09375,157.5,81.5625
1729696936850851000,0.33285107421875,-276.07501220703125,157.6875,81.45000457763672
1729696936860851000,0.342850830078125,-276.2250061035156,158.04376220703125,81.3375015258789
1729696936870851000,0.35285107421875,-276.28125,158.02500915527344,81.30000305175781
1729696936880851000,0.362850830078125,-276.3937683105469,158.13751220703125,81.26250457763672
1729696936890851000,0.37285107421875,-276.63751220703125,158.04376220703125,81.16875457763672
1729696936900851000,0.382850830078125,-276.6187744140625,158.02500915527344,81.11250305175781
1729696936910851000,0.39285107421875,-276.3937683105469,157.9875030517578,80.92500305175781
1729696936920851000,0.402850830078125,-276.4312744140625,158.23126220703125,80.73750305175781
1729696936930851000,0.41285107421875,-276.5250244140625,157.96875,80.53125
1729696936940851000,0.422850830078125,-276.45001220703125,157.63125610351562,80.625
1729696936950851000,0.43285107421875,-276.5250244140625,157.7062530517578,80.71875
1729696936960851000,0.442850830078125,-276.3000183105469,157.74375915527344,80.64375305175781
1729696936970851000,0.45285107421875,-276.3375244140625,157.85626220703125,80.8687515258789
1729696936980851000,0.462850830078125,-276.46875,157.6875,80.71875
1729696936990851000,0.47285107421875,-276.5625,157.6875,80.73750305175781
1729696937000851000,0.482850830078125,-276.3937683105469,157.6125030517578,80.64375305175781
1729696937010851000,0.49285107421875,-276.375,157.55625915527344,81.11250305175781
1729696937020851000,0.502850830078125,-276.2250061035156,157.6875,81.1500015258789
1729696937030851000,0.51285107421875,-276.2250061035156,157.27500915527344,81.13125610351562
1729696937040851000,0.522850830078125,-276.16876220703125,157.2375030517578,81.1500015258789
1729696937050851000,0.53285107421875,-276.1125183105469,157.20001220703125,81.09375
1729696937060851000,0.542850830078125,-276.1500244140625,157.29376220703125,81.35625457763672
1729696937070851000,0.55285107421875,-276.2437744140625,157.3312530517578,81.45000457763672
1729696937080851000,0.562850830078125,-276.3187561035156,157.21875,81.4312515258789
1729696937090851000,0.57285107421875,-276.28125,157.29376220703125,81.35625457763672
1729696937100851000,0.582850830078125,-276.2250061035156,157.3312530517578,81.01875305175781
1729696937110851000,0.59285107421875,-276.3375244140625,157.53750610351562,81.0562515258789
1729696937120851000,0.602850830078125,-276.4312744140625,157.6875,81.20625305175781
1729696937130851000,0.61285107421875,-276.3375244140625,157.6125030517578,80.9625015258789
1729696937140851000,0.622850830078125,-276,157.7062530517578,80.70000457763672
1729696937150851000,0.63285107421875,-275.8687744140625,157.59375,80.5875015258789
1729696937160851000,0.642850830078125,-275.8687744140625,157.63125610351562,80.6812515258789
1729696937170851000,0.65285107421875,-275.8500061035156,157.6875,80.66250610351562
1729696937180851000,0.662850830078125,-276.1875,157.55625915527344,80.70000457763672
1729696937190851000,0.67285107421875,-276.16876220703125,157.44375610351562,80.8687515258789
1729696937200851000,0.682850830078125,-276.1875,157.36875915527344,80.75625610351562
1729696937210851000,0.69285107421875,-276.1875,157.36875915527344,81.1875
1729696937220851000,0.702850830078125,-276.4125061035156,157.4250030517578,81.11250305175781
1729696937230851000,0.71285107421875,-276.3937683105469,157.6125030517578,81.4312515258789
1729696937240851000,0.722850830078125,-276.5625,157.63125610351562,81.63750457763672
1729696937250851000,0.73285107421875,-276.6937561035156,157.5187530517578,81.5250015258789
1729696937260851000,0.742850830078125,-276.46875,157.66876220703125,81.69375610351562
1729696937270851000,0.75285107421875,-276.375,157.8000030517578,81.63750457763672
1729696937280851000,0.762850830078125,-276.3375244140625,157.7062530517578,81.63750457763672
1729696937290851000,0.77285107421875,-276.4125061035156,157.6875,81.46875
1729696937300851000,0.782850830078125,-276.26251220703125,157.59375,81.8062515258789
