time,seconds_elapsed,z,y,x
1729696936590851000,0.07285107421875,-6.731250286102295,20.64375114440918,-50.23125076293945
1729696936600851000,0.082850830078125,-6.150000095367432,19.762500762939453,-50.55000305175781
1729696936610851000,0.09285107421875,-5.71875,19.125,-50.306251525878906
1729696936620851000,0.102850830078125,-5.4375,19.200000762939453,-50.70000076293945
1729696936630851000,0.11285107421875,-5.493750095367432,19.3125,-50.94375228881836
1729696936640851000,0.122850830078125,-5.362500190734863,19.14375114440918,-51.03750228881836
1729696936650851000,0.13285107421875,-5.400000095367432,19.05000114440918,-51.07500076293945
1729696936660851000,0.142850830078125,-5.212500095367432,18.918750762939453,-51.22500228881836
1729696936670851000,0.15285107421875,-4.650000095367432,18.693750381469727,-51.375003814697266
1729696936680851000,0.162850830078125,-4.612500190734863,18.825000762939453,-51.525001525878906
1729696936690851000,0.17285107421875,-4.59375,19.087501525878906,-51.843753814697266
1729696936700851000,0.182850830078125,-4.518750190734863,19.087501525878906,-51.76875305175781
1729696936710851000,0.19285107421875,-4.275000095367432,18.95625114440918,-51.750003814697266
1729696936720851000,0.202850830078125,-4.068750381469727,19.275001525878906,-51.750003814697266
1729696936730851000,0.21285107421875,-4.03125,19.40625,-51.843753814697266
1729696936740851000,0.222850830078125,-4.181250095367432,19.537500381469727,-51.806251525878906
1729696936750851000,0.23285107421875,-4.481250286102295,19.462501525878906,-51.712501525878906
1729696936760851000,0.242850830078125,-4.387500286102295,19.462501525878906,-51.806251525878906
1729696936770851000,0.25285107421875,-4.368750095367432,19.350000381469727,-51.656253814697266
1729696936780851000,0.262850830078125,-4.481250286102295,19.068750381469727,-51.468753814697266
1729696936790851000,0.27285107421875,-4.443750381469727,19.23750114440918,-51.468753814697266
1729696936800851000,0.282850830078125,-4.668750286102295,18.806251525878906,-51.39375305175781
1729696936810851000,0.29285107421875,-4.5,18.731250762939453,-51.281253814697266
1729696936820851000,0.302850830078125,-4.537500381469727,18.731250762939453,-51.093753814697266
1729696936830851000,0.31285107421875,-4.612500190734863,18.825000762939453,-51.056251525878906
1729696936840851000,0.322850830078125,-4.706250190734863,18.618751525878906,-50.587501525878906
1729696936850851000,0.33285107421875,-4.668750286102295,18.825000762939453,-50.70000076293945
1729696936860851000,0.342850830078125,-4.837500095367432,19.181251525878906,-50.812503814697266
1729696936870851000,0.35285107421875,-4.893750190734863,19.162500381469727,-50.85000228881836
1729696936880851000,0.362850830078125,-5.006250381469727,19.275001525878906,-50.88750076293945
1729696936890851000,0.37285107421875,-5.231250286102295,19.181251525878906,-50.98125076293945
1729696936900851000,0.382850830078125,-5.212500095367432,19.162500381469727,-51.03750228881836
1729696936910851000,0.39285107421875,-4.987500190734863,19.125,-51.22500228881836
1729696936920851000,0.402850830078125,-5.025000095367432,19.350000381469727,-51.431251525878906
1729696936930851000,0.41285107421875,-5.137500286102295,19.106250762939453,-51.618751525878906
1729696936940851000,0.422850830078125,-5.043750286102295,18.76875114440918,-51.525001525878906
1729696936950851000,0.43285107421875,-5.118750095367432,18.84375,-51.45000076293945
1729696936960851000,0.442850830078125,-4.912500381469727,18.881250381469727,-51.50625228881836
1729696936970851000,0.45285107421875,-4.950000286102295,18.993751525878906,-51.30000305175781
1729696936980851000,0.462850830078125,-5.0625,18.825000762939453,-51.431251525878906
1729696936990851000,0.47285107421875,-5.15625,18.825000762939453,-51.431251525878906
1729696937000851000,0.482850830078125,-4.987500190734863,18.75,-51.50625228881836
1729696937010851000,0.49285107421875,-4.96875,18.67500114440918,-51.03750228881836
1729696937020851000,0.502850830078125,-4.837500095367432,18.825000762939453,-51.000003814697266
1729696937030851000,0.51285107421875,-4.837500095367432,18.412500381469727,-51.03750228881836
1729696937040851000,0.522850830078125,-4.762500286102295,18.375,-51.01875305175781
1729696937050851000,0.53285107421875,-4.725000381469727,18.337501525878906,-51.056251525878906
1729696937060851000,0.542850830078125,-4.743750095367432,18.431251525878906,-50.79375076293945
1729696937070851000,0.55285107421875,-4.837500095367432,18.46875,-50.70000076293945
1729696937080851000,0.562850830078125,-4.912500381469727,18.356250762939453,-50.718753814697266
1729696937090851000,0.57285107421875,-4.875,18.431251525878906,-50.79375076293945
1729696937100851000,0.582850830078125,-4.818750381469727,18.46875,-51.13125228881836
1729696937110851000,0.59285107421875,-4.931250095367432,18.65625,-51.093753814697266
1729696937120851000,0.602850830078125,-5.043750286102295,18.825000762939453,-50.94375228881836
1729696937130851000,0.61285107421875,-4.931250095367432,18.75,-51.20625305175781
1729696937140851000,0.622850830078125,-4.612500190734863,18.84375,-51.45000076293945
1729696937150851000,0.63285107421875,-4.481250286102295,18.731250762939453,-51.562503814697266
1729696937160851000,0.642850830078125,-4.481250286102295,18.76875114440918,-51.468753814697266
1729696937170851000,0.65285107421875,-4.462500095367432,18.825000762939453,-51.48750305175781
1729696937180851000,0.662850830078125,-4.78125,18.693750381469727,-51.45000076293945
1729696937190851000,0.67285107421875,-4.762500286102295,18.5625,-51.281253814697266
1729696937200851000,0.682850830078125,-4.800000190734863,18.506250381469727,-51.39375305175781
1729696937210851000,0.69285107421875,-4.78125,18.506250381469727,-50.962501525878906
1729696937220851000,0.702850830078125,-5.006250381469727,18.5625,-51.03750228881836
1729696937230851000,0.71285107421875,-5.006250381469727,18.731250762939453,-50.718753814697266
1729696937240851000,0.722850830078125,-5.175000190734863,18.76875114440918,-50.51250076293945
1729696937250851000,0.73285107421875,-5.287500381469727,18.65625,-50.625003814697266
1729696937260851000,0.742850830078125,-5.081250190734863,18.787500381469727,-50.45625305175781
